serial_no,region,dealer_name,state,city,location,phone,district,status,latitude,longitude,wall_number,painting_type,wall_tenure_months,rented_or_free,rent_amount,execution_date,remarks,plan_sqft,actual_sqft,size,source_file,source_sheet
1,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.558004,75.012066,Uaa@ 1 SharmaCementStore 14/01/2026,,,FREE,FREE,2026-01-14 00:00:00,,,150,15x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557586,75.011613,Uaa@ 2 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-14 00:00:00,,,1300,100x13,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557986,75.012044,Uaa@ 3 SharmaCementStore 14/01/2026,,,free,free,2026-01-14 00:00:00,,,110,10x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557726,75.011818,Uaa@ 4 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-13 00:00:00,,,288,8x9x4,Bill no 145 Dealer WP (1).xlsx,Bill 145
5,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557766,75.011838,Uaa@ 5 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-14 00:00:00,,,312,26x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
6,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.559044,75.012919,Uaa@ 6 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-14 00:00:00,,,444,37x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.902825,75.124724,Uaa@1_Encore Const. & hw_14/01/2026,,,,,2026-01-12 00:00:00,,,539,25x11+16x11 + 7x4 + 5x6x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.902925,75.124776,Uaa@2_Encore Const. & hw_14/01/2026,,,Free,Free,2026-01-12 00:00:00,,,440,40x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.902973,75.124963,Uaa@3_Encore Const. & hw_14/01/2026,,,Free,Free,2026-01-12 00:00:00,,,228,38x6,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.901022,75.123424,Uaa@4_Encore Const. & hw_14/01/2026,,,Free,Free,2026-01-12 00:00:00,,,750,50x15,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.934735,74.984869,Uaa@ 1 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,1510,25x22 + 10x9 + 12x10 - 6x6 + 50x15 + 12x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.934645,74.984889,Uaa@ 2 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,90,10x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.934509,74.984863,Uaa@ 3 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,224,16x14,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.935113,74.984933,Uaa@ 4 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,878,32x12 + 38+13,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.018686,74.89122,Uaa@ 1 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,1360,50x13 + 20x12.5 + 25x4 + 60x6,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.018733,74.891033,Uaa@ 2 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,274,12x11 + 15x6 + 13x4,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.019453,74.881271,Uaa@ 3 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,335,15x11 + 17x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.019669,74.881314,Uaa@ 4 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,635,15x11 +17x10 + 30x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
5,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.018786,74.885951,Uaa@ 5 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,187,17x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
6,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.008419,74.897944,Uaa@ 6 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,270,30x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750616,74.844355,Uaa@ 1 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,477,25x5 + 20x17 + 6x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750397,74.844491,Uaa@ 2 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,730,25x13 + 20x12 + 15x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736296,74.823572,Uaa@ 3 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,640,20x12 + 28x12 + 8x5 + 8x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736308,74.823529,Uaa@ 4 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,258,48x5 + 6x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
5,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736215,74.823574,Uaa@ 5 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,240,20x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
6,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736307,74.823482,Uaa@ 6 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,240,48x5,Bill no 145 Dealer WP (1).xlsx,Bill 145
7,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750669,74.844455,Uaa@ 7 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,226,27x5 + 11x5 + 6x3x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
8,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750651,74.84449,Uaa@ 8 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,160,32x5,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.656703,74.907319,Uaa@ 1 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,374,34x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.656733,74.907367,Uaa@ 2 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,672,56x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.656873,74.907184,Uaa@ 3 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,465,31x15,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.664508,74.879318,Uaa@ 4 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,930,62x15,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.587922,76.858898,Uaa@1 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,204,20x11 - 4x4,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.58797,76.858892,Uaa@ 2 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,589,31x19,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.587965,76.858905,Uaa@3 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,488,50x8 + 12x4 + 10x2x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.587965,76.858905,Uaa@4 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,200,25x8,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Baba Traders,"Mohali , Punjab","Garib Niwas , Mulanpur","Garib Niwas , Mulanpur , Mohali , Punjab",,,Done,30.800714,76.747192,Uaa @ 1  Baba Traders 30/12/2025,,,Free,Free,2025-12-30 00:00:00,,,480,48x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Baba Traders,"Mohali , Punjab","Garib Niwas , Mulanpur","Garib Niwas , Mulanpur , Mohali , Punjab",,,Done,30.800821,76.747363,Uaa @ 2  Baba Traders 30/12/2025,,,Free,Free,2025-12-30 00:00:00,,,783,75x9  +12x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Baba Traders,"Mohali , Punjab","Garib Niwas , Mulanpur","Garib Niwas , Mulanpur , Mohali , Punjab",,,Done,30.800601,76.747677,Uaa @ 3  Baba Traders 30/12/2025,,,Free,Free,2025-12-30 00:00:00,,,768,96x8,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Jai Laxmi Wear House,Punjab,Mohali,"Mohali , Punjab",,,Done,30.616065,76.697604,Uaa @ 1  Jai Laxmi Wear House 25/12/2025,,,Free,Free,2025-12-25 00:00:00,,,216,36x6,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Jai Laxmi Wear House,Punjab,Mohali,"Mohali , Punjab",,,Done,30.616249,76.69743,Uaa @ 2  Jai Laxmi Wear House 25/12/2025,,,Free,Free,2025-12-25 00:00:00,,,320,40x8,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Jai Laxmi Wear House,Punjab,Mohali,"Mohali , Punjab",,,Done,30.616133,76.697029,Uaa @ 3  Jai Laxmi Wear House 25/12/2025,,,Free,Free,2025-12-25 00:00:00,,,1198,98x11 + 12x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Gupta Iron Store,Punjab,Pathankot,"Pathankot , Punjab",,,Done,32.259997,75.663406,Uaa @ 1 Gupta Iron Store 04/01/2026,,,Free,Free,2026-01-04 00:00:00,,,903,38x11 + 40x8 + 11x5x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Gupta Iron Store,Punjab,Pathankot,"Pathankot , Punjab",,,Done,32.265364,75.651109,Uaa @ 2 Gupta Iron Store 04/01/2026,,,Free,Free,2026-01-04 00:00:00,,,420,21x20,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Gupta Iron Store,Punjab,Pathankot,"Pathankot , Punjab",,,Done,32.26687,75.651365,Uaa @ 3 Gupta Iron Store 04/01/2026,,,Free,Free,2026-01-04 00:00:00,,,162,18x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Sarpal Sood &Sons,Punjab,Rajpura,"Rajpura  ,  Puinjab",,,Done,30.475584,76.586344,Uaa@ 1  Sarpal Sood &Sons 27/12/2025,,,Free,Free,2025-12-27 00:00:00,,,,,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,,JAGDAMBA STEEL,HARYANA,KAITHAL,KAITHAL ROAD CHIKA,9416658833,,,30.32558°,76.337136°,SHOP 1,,22.05.2025,,,,,3500,440,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
2,,SURESH MITTAL & SONS,HARYANA,AMBALA,SHAHZADPUR,9416668676,,,30.449806,77.036257,SHOP 1,,23.05.2025,,,,,3500,465,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
3,,SHIVA TRADING COMPANY,HARYANA,AMBALA,BARNALA,9813101083,,,30.394854°,76.809204°,SHOP 1,,28.05.2025,,,,,3500,204,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
4,,VARDHMAN STEELS,HARYANA,AMBALA,AMBALA CANTT,9215167249,,,30.329405,76.892966,SHOP 1,,30-05-2025,,,,,5000,493,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
5,,SHIV SHAKTI TRADERS,HARYANA,AMBALA,BARARA,,,,30.203536,77.03552,SHOP 1,,2025-05-06 00:00:00,,,,,3500,616,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
6,,GARG ENTERPRISES,HARYANA,AMBALA,SADHAURA,9802023525,,,30.380559,77.222245,SHOP 1,,2025-08-06 00:00:00,,,,,5000,476,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
7,,KAMAL ENTERPRISES,HARYANA,AMBALA,JAGADHRI,9053154000,,,30.160512,77.305057,WALL 1,,15-06-2025,,,,,5000,301,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
Grand Total,,,,,,,,,,,,,,,,,,29000,32336,,JSW Complete Work 21.6.2025 (1).xlsx,Complete Work Jun25
1,North,Shri Madan Lal Associates LLP,HR,Karnal,"Behind Volkwagen Showroom, G.T. Rd, 
Opp. Kamboohpura – Karnal",,,OK,29.628134,76.980958,BRANDHUT- 01/01,,,,,02.01.2026,,,780,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
2,North,"Shree Shyam Ji Building
 Material Store",HR,Karnal,"Nigdhu, Nilokheri – Karnal",,,OK,29.8369,76.732263,BRANDHUT- 02/01,Shutter,,,,01.01.2026,,,588,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
3,North,Bansal Building Material Store,HR,Karnal,"Sonkar Road, Tarawari - Karnal",,,OK,29.79618,76.916048,BRANDHUT- 03/01,,,,,01.01.2026,,,1905.5,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
4,SE,Delhi Steel & Cement,HR,Gurugram,"Jal Vihar Colony, Sector – 46 – Gurugram",,,OK,28.456085,76.990089,BRANDHUT- 04/01,,,,,13.01.2026,,,2124,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
5,SE,Akshay Udyog,HR,Gurugram,Daultabad Industrial Area – Gurugram,,,,,,,,,,,,,,28,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
6,SE,Shree Shyam Steel,HR,Gurugram,Hemilton Court Road – Gurugram,,,OK,28.467161,77.087144,BRANDHUT- 06/01,,,,,17.01.2026,,,90,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
7,SE,Om Traders,HR,Gurugram,"Maruti Kunj, Near DPS School, Bhondsi – Gurugram",,,OK,28.364808,77.074337,BRANDHUT- 07/01,,,,,15.01.2026,,,760,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
8,SE,S.R. Enterprises,HR,Gurugram,"Carteripur Marg, Palam Vihar Extension – Gurugram",,,OK,28.497902,77.054885,BRANDHUT- 08/01,,,,,17.01.2026,,,518,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
9,SE,Vinay Building Material Supplier,HR,Gurugram,"Gohana – Meham Rd, Lakhan Majra – Gurugram",,,OK,29.04816,76.483393,BRANDHUT- 09/01,Shutter,,,,18.01.2026,,,1200,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
10,North,Ganapati Steel,HR,Jind,"Ghanta Ghar, Old Grain Market – Jind",,,OK,29.31109,76.314705,BRANDHUT- 10/01,,,,,19.01.2026,,,460,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
11,NE,Shakti Steel Traders,HR,Sonipat,"Sant Nagar, Sector – 6, Huda – Sonipat",,,OK,29.411207,76.964429,BRANDHUT – 01/01,,,,,04.01.2026,,,1364,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
12,NE,Sohan Trading Company,HR,Sonipat,"Sector – 7, Gohana – Sonipat",,,OK,29.13202,76.698312,BRANDHUT – 02/01,,,,,05.01.2026,,,1620,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
13,NE,Shree Shyam Building Material,HR,Sonipat,"Kharkhoda, Near Kitab Singh Hospital – Sonipat",,,OK,28.871006,76.921342,BRANDHUT – 03/01,,,,,06.01.2026,,,350,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
14,NE,C.H. Steel,HR,Sonipat,"Sankhol, Bahadurgarh – Jhajjar",,,OK,28.705146,76.905219,BRANDHUT - 04/01,,,,,06.01.2026,,,315,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
15,NE,Shree Bala Ji Iron Store,HR,Jhajjar,"Yadav Colony, Bahadurgarh - Jhajjar",,,OK,28.594426,76.659828,BRANDHUT -05\01,,,,,08..01.2026,,,544.5,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
16,NE,City Builder,HR,Rohtak,"Near Petrol Pump, Old Anaj Mandi – Rohtak",,,OK,28.923211,76.62412,BRANDHUT- 06/01,,,,,09.01.2026,,,66,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
17,NE,Naveen Trading Company,HR,Rohtak,Near Patrol Pamp old Anja Mandir – Rohtak,,,OK,28.885269,76.566734,BRANDHUT- 07/01,,,,,09.01.2026,,,750,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
18,NE,Shri Krishna Builders & Steel,HR,Rohtak,Oppste Siwach Sanjeevni Hospital - Rohtak,,,OK,28.916829,76.594048,BRANDHUT-08/01,,,,,10.01.2026,,,575,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
19,NE,Shri Shyam Enterprises,HR,Rohtak,"Bhagotipur- Plot No. 34,35 killa Near, Jio Patrol Pamp - Rohtak",,,OK,28.981088,76.526522,BRANDHUT- 09/01,,,,,11.01.2026,,,553,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
20,NE,Gupta Trading Company,HR,Rohtak,"Sampla, Garhi Mod - Rohtak",,,OK,28.765604,76.7640412,BRANDHUT- 10/01,,,,,12.01.2026,,,506,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
21,SE,Sharma Traders,HR,Gurugram,Farukh Nagar – Gurugram,,,OK,28.460686,76.833646,BRANDHUT – 11/01,,,,,13.01.2026,,,857.5,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
22,East,Krishna Steel,HR,Faridabad,"Opp. Lakhani Chowk, Main Road – Faridabad",,,OK,28.355762,77.29982,BRANDHUT – 12/01,Shutter,,,,16.01.2026,,,378,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
23,East,Delhi Steel,HR,Faridabad,"60 Fit Road, Sector – 23 – Faridabad",,,OK,28.35598,77.299867,BRANDHUT – 13/01,Shutter,,,,16.01.2026,,,1020,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
24,East,Preeti Tradelink Pvt. Ltd.,HR,Faridabad,"Kartik Vihar, Sector – 21C – Faridabad",,,OK,28.430721,77.305322,BRANDHUT – 14/01,Shutter,,,,17.01.2026,,,802.5,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
25,SE,Aggarwal Building Material Store,HR,Palwal,"Hodal Rural, Hodal – Palwal",,,OK,27.886764,77.374645,BRANDHUT – 15/01,Shutter,,,,19.01.2026,,,450,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
26,SE,Yadav Iron Store,HR,Rewari,Durga Colony – Rewari,,,OK,28.193976,76.635477,BRANDHUT -16/01,,,,,20.01.2026,,,501.5,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
27,South,Prashant Trading Company,HR,Mahendragarh,"Ateli Mandi, Khor – Mahendragarh",,,OK,28.106111,76.259813,BRANDHUT – 17/01,,,,,21.01.2026,,,288,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
28,South,Bansal Iron Store,HR,Mahendragarh,"Mahendragarh to Dadri Road, Kharkhara – Mahendragarh",,,OK,28.399587,76.131917,BRANDHUT – 18/01,,,,,22.02.2026,,,1326,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
29,South,Shree Shyam Trading Company,HR,Bhiwani,Bawani Khera – Bhiwani,,,OK,28.950369,76.045141,BRANDHUT – 19/01,,,,,23.01.2026,,,1083,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
30,West,Pal Cement & Steel Pvt. Ltd.,HR,Hisar,Mirzapurpur Road – Hisar,,,OK,29.171879,75.770744,BRANDHUT – 20/01,,,,,24.01.2026,,,324,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
31,West,Dharmveer Timber & Steel Traders,HR,Hisar,Barwala – Hisar,,,OK,29.357804,75.890218,BRANDHUT – 21/01,,,,,27.01.2026,,,1680,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
32,West,Shree Salasar Trading Company,HR,Hisar,Barwala – Hisar,,,OK,29.357864,75.89002,BRANDHUT – 22/01,,,,,27.01.2026,,,1743,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
33,North,Om Prakash Building Material,HR,Jind,Pilu Khera – Jind,,,OK,29.356408,76.491645,BRANDHUT – 23/01,Shutter,,,,28.01.2026,,,912,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
,,s,,,,,,OK,29.356641,76.491596,BRANDHUT – 23/02,,,,,28.01.2026,,,432,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
34,North,Naveen Kumar Pradeep Kumar,HR,Kaithal,Pundri – Kaithal,,,OK,29.770448,76.566881,BRANDHUT – 24/01,Shutter,,,,30.01.2026,,,1616,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
35,North,Shree Bala Ji Sanitary Store,HR,Kurukshetra,"Professor Colony, Pehowa – Kurukshetra",,,OK,29.989073,76.588795,BRANDHUT – 25/01,Shutter,,,,31.01.2026,,,227.5,,JSW_Dealer WP_Final (1) (1).xlsx,Dealer WP - HR
